,vocabulary,counting
0,F,2274
1,%73,0
2,%86,0
3,%58,0
4,%98,0
5,3,0
6,%10,0
7,\,0
8,b,0
9,%04,0
10,%87,0
11,8,0
12,%02,0
13,2,1142
14,%56,0
15,%67,0
16,%43,0
17,<eos>,0
18,%99,0
19,*,0
20,%09,0
21,+,0
22,Br,315
23,%46,0
24,%95,0
25,5,0
26,S,1515
27,%07,0
28,%75,0
29,P,0
30,B,0
31,%33,0
32,C,6434
33,%14,0
34,%78,0
35,<unk>,0
36,4,0
37,7,0
38,%11,0
39,0,0
40,%34,0
41,.,0
42,%39,0
43,%24,0
44,%94,0
45,%90,0
46,%29,0
47,%12,0
48,%53,0
49,%91,0
50,%52,0
51,>,0
52,/,0
53,@,0
54,%38,0
55,%77,0
56,%18,0
57,%00,0
58,<pad>,0
59,%89,0
60,N,3688
61,%19,0
62,%23,0
63,%79,0
64,%20,0
65,%97,0
66,%51,0
67,%57,0
68,%42,0
69,6,0
70,$,0
71,p,0
72,%64,0
73,9,0
74,%31,0
75,%32,0
76,%54,0
77,~,0
78,%76,0
79,%83,0
80,%06,0
81,%61,0
82,%17,0
83,%68,0
84,%48,0
85,%28,0
86,%22,0
87,%27,0
88,(,3553
89,%37,0
90,%74,0
91,%84,0
92,Cl,1015
93,%13,0
94,),2899
95,1,2811
96,%47,0
97,%50,0
98,%92,0
99,%25,0
100,c,0
101,%49,0
102,%85,0
103,<bos>,0
104,%26,0
105,%35,0
106,%60,0
107,%63,0
108,%21,0
109,%01,0
110,[,0
111,%05,0
112,%65,0
113,],0
114,%30,0
115,%45,0
116,?,0
117,%62,0
118,%93,0
119,o,0
120,%80,0
121,%44,0
122,s,0
123,=,689
124,%70,0
125,%81,0
126,-,0
127,%82,0
128,I,0
129,%88,0
130,%72,0
131,%66,0
132,%59,0
133,:,0
134,%08,0
135,%96,0
136,<,0
137,%40,0
138,%03,0
139,%55,0
140,%41,0
141,n,0
142,O,12043
143,%15,0
144,%36,0
145,#,553
146,%71,0
147,%69,0
148,%16,0
